environment,iteration,win,rounds,average_score_final_window,average_score_total,high_score,total_cases,duration
cartpole,0,True,100,252.42,252.42,500.0,22191,0:01:10.445382
cartpole,1,True,273,195.09,116.13919413919415,500.0,25564,0:01:33.012691
cartpole,2,True,791,196.79,123.34766118836916,500.0,71117,0:07:21.968375
cartpole,3,True,287,195.11,143.83623693379792,500.0,30427,0:02:16.094490
cartpole,4,True,249,196.16,136.70682730923696,500.0,26564,0:01:55.274040
